Job Title,Company,Category,Work Mode,Experience Level,Key Tech & Skills,Profile Match Summary,Application Link,Application Status
AI Annotation Specialist / AI Trainer,DataAnnotation.tech,AI / LLM Evaluation & RLHF,Fully Remote (Global / India),Fresher / Entry-Level,"AI/LLM Evaluation, Prompt Engineering, Python/Coding QA, Data Annotation",Direct match for AI/LLM evaluation and annotation experience at Innodata,https://www.dataannotation.tech/,Not Applied
AI Content Trainer & Evaluator,Outlier.ai,AI / LLM Evaluation & RLHF,Fully Remote (Global / India),Fresher / Entry-Level,"RLHF, Prompt Evaluation, Factuality & Safety Checking, Python/Coding",Directly utilizes RLHF evaluation and response factuality assessment background,https://outlier.ai/,Not Applied
AI Training Specialist,Alignerr (by Labelbox),AI / LLM Evaluation & RLHF,Fully Remote (Global / India),Fresher / Entry-Level (10–40 hrs/wk),"LLM Evaluation, Code Quality Assessment, Benchmark Evaluation",Strong alignment with structured evaluation frameworks and prompt QA,https://www.alignerr.com/jobs,Not Applied
Media Search & AI Quality Analyst,TELUS Digital (AI Community),AI / LLM Evaluation & Data Operations,Fully Remote (India),Fresher / Entry-Level,"AI Data Validation, Search Relevance, Quality Assurance, Evaluation Guidelines","Fits candidate's process compliance, QA, and data validation background",https://jobs.telusdigital.com/jobs/18136963-media-search-analyst-english-india,Not Applied
Search Quality & AI Data Rater,Welocalize (Welo Data),AI / LLM Evaluation & Data Operations,Fully Remote (India),Fresher / Entry-Level (10–25 hrs/wk),"Data Annotation, LLM Output Evaluation, Search Evaluation Rubrics",Matches candidate's annotation consistency and guideline adherence,https://builtin.com/job/scout-search-quality-rater-english-located-india/8523421,Not Applied
Remote AI Trainer / Evaluator,Invisible Technologies (Meridial),AI / LLM Evaluation & RLHF,Fully Remote (Global / India),Fresher / Entry-Level,"RLHF, Multi-turn Conversation QA, Structured Annotation",Highly relevant to daily LLM evaluation tasks performed at Innodata,https://www.meridial.ai/projects,Not Applied
Software Developer (Fresher),Soranova Technologies Private Limited,Software / Python Development,Fully Remote (India),Fresher (0-1 yrs),"Python, Software Engineering Principles, Problem Solving, REST APIs",Perfect for IT degree and Python/software development skills,https://in.indeed.com/q-junior-python-developer-l-remote-jobs.html,Not Applied
Junior Full Stack Developer,Chess Gaja,Full Stack Web Development,Fully Remote (India),Fresher / Junior (0-1 yrs),"React, JavaScript, HTML/CSS, Backend APIs, Database Integration",Direct match for Future Finderz e-commerce full-stack intern project,https://in.indeed.com/q-junior-python-developer-l-remote-jobs.html,Not Applied
Full-Stack Developer Intern / Junior,Fusionpact Career,Full Stack Web Development,Fully Remote (India),Fresher / 0-1 yrs,"React, Python, Django, REST APIs, Database Management",Exactly aligns with candidate's primary tech stack: React + Python/Django,https://in.indeed.com/q-fresher-full-stack-developer-remote-jobs.html,Not Applied
Python Full Stack Developer with AI/ML,Vithal Visions Private Limited,Full Stack & AI Engineering,Fully Remote (India),Fresher / Entry-Level,"Python, React, AI/ML concepts, REST APIs",Combines software development with AI interests and Generative AI certification,https://in.indeed.com/q-react-js-remote-fresher-jobs.html,Not Applied
